Iteration of walk forward, Classifier, Sampling, Feature selection, Cost sensitive classifier, AUC, Kappa, Precision, Recall,TruePositives, TrueNegatives, FalsePositives, FalseNegatives
4,RandomForest,SMOTE,false,false,0.9971181556195965,0.0,NaN,0.0,0.0,347.0,0.0,11.0
4,NaiveBayes,SMOTE,false,false,0.008645533141210375,-0.06309829020417948,0.0,0.0,0.0,36.0,311.0,11.0
4,IBk,SMOTE,true,false,1.0,0.0,NaN,0.0,0.0,347.0,0.0,11.0
4,RandomForest,SMOTE,true,false,0.5,0.0,NaN,0.0,0.0,347.0,0.0,11.0
4,NaiveBayes,SMOTE,true,false,0.0,-0.06333692856550237,0.0,0.0,0.0,0.0,347.0,11.0
4,IBk,NONE,false,true,0.5,0.0,NaN,0.0,0.0,347.0,0.0,11.0
4,RandomForest,NONE,false,true,0.9971181556195965,0.0,NaN,0.0,0.0,347.0,0.0,11.0
4,NaiveBayes,NONE,false,true,0.006287660466334818,-0.06328813156599515,0.0,0.0,0.0,8.0,339.0,11.0
5,IBk,NONE,false,false,0.5,0.0,NaN,0.0,0.0,367.0,0.0,10.0
5,RandomForest,NONE,false,false,0.703542234332425,0.0,NaN,0.0,0.0,367.0,0.0,10.0
5,NaiveBayes,NONE,false,false,0.0051771117166212535,-0.054395142960605894,0.0,0.0,0.0,14.0,353.0,10.0
5,IBk,NONE,true,false,1.0,0.0,NaN,0.0,0.0,367.0,0.0,10.0
5,RandomForest,NONE,true,false,0.5,0.0,NaN,0.0,0.0,367.0,0.0,10.0
5,NaiveBayes,NONE,true,false,0.0,-0.05445548227229225,0.0,0.0,0.0,0.0,367.0,10.0
5,IBk,SIMPLE OVERSAMPLING,false,false,0.5,0.0,NaN,0.0,0.0,367.0,0.0,10.0
5,RandomForest,SIMPLE OVERSAMPLING,false,false,0.6727520435967302,0.0,NaN,0.0,0.0,367.0,0.0,10.0
5,NaiveBayes,SIMPLE OVERSAMPLING,false,false,0.0051771117166212535,-0.054395142960605894,0.0,0.0,0.0,14.0,353.0,10.0
5,IBk,SMOTE,false,false,0.4986376021798365,-0.004846135207171497,0.0,0.0,0.0,366.0,1.0,10.0
5,RandomForest,SMOTE,false,false,0.7485013623978202,0.0,NaN,0.0,0.0,367.0,0.0,10.0
5,NaiveBayes,SMOTE,false,false,0.004087193460490463,-0.05438160348042263,0.0,0.0,0.0,17.0,350.0,10.0
5,IBk,SMOTE,true,false,1.0,0.0,NaN,0.0,0.0,367.0,0.0,10.0
5,RandomForest,SMOTE,true,false,0.5,0.0,NaN,0.0,0.0,367.0,0.0,10.0
5,NaiveBayes,SMOTE,true,false,0.0,-0.05445548227229225,0.0,0.0,0.0,0.0,367.0,10.0
5,IBk,NONE,false,true,0.5,0.0,NaN,0.0,0.0,367.0,0.0,10.0
5,RandomForest,NONE,false,true,0.7577656675749319,0.0,NaN,0.0,0.0,367.0,0.0,10.0
5,NaiveBayes,NONE,false,true,0.0051771117166212535,-0.05441721894570439,0.0,0.0,0.0,9.0,358.0,10.0
